Posicion,Equipo,Puntos
1,Coquimbo Unido,68
2,U. Católica,51
3,O´Higgins,50
4,U. de Chile,48
5,Palestino,45
6,Cobresal,44
7,A. Italiano,43
8,Colo Colo,41
9,Huachipato,38
10,Ñublense,30
11,U. La Calera,29
12,Deportes La Serena,27
13,Everton Viña,26
14,Deportes Limache,22
15,U. Española,21
16,D. Iquique,18
