Posicion,Equipo,Puntos
38,Coquimbo Unido,38
35,U. de Chile,35
33,A. Italiano,33
31,Palestino,31
27,O´Higgins,27
26,U. Católica,26
26,Cobresal,26
25,Colo Colo,25
22,U. La Calera,22
21,Huachipato,21
20,Ñublense,20
18,Everton Viña,18
17,Deportes La Serena,17
14,Deportes Limache,14
10,U. Española,10
9,D. Iquique,9
